# /Users/meg/haus/deutsch/VOC/VERBEN
Q,A,R,F
anschneiden, 話題や問題を切り出す , 0, 0
küren, 選出する , 0, 0
ausspannen, くつろぐ , 0, 0
auffliegen, 秘密などがばれる 公表される , 0, 0
nisten, 巣を作る , 0, 0
bummeln, ぶらぶらする , 0, 0
beanspruchen, 要求する 主張する , 0, 0
versehen, 役割を果たす , 0, 0
versehen mit, 与える 備え付ける , 0, 0
sich versehen, 取り違える 誤って行う , 0, 0
schrumpfen, 減少する 縮む しなびる , 0, 0
vormachen, だます 見せかける , 0, 0
einholen, 追いつく 取り返す 意見や許可を求める , 0, 0
bestehen, 合格する 耐える 存在する , 0, 0
bestehen in, という状態にある , 0, 0
bestehen auf, こだわる 固執する , 0, 0
bestehen aus, から成り立つ ~でできている , 0, 0
verwirklichen, 実現する , 0, 0
sich verwirklichen, 能力を発揮する , 0, 0
stecken, つぎ込む という状態にある , 0, 0
behalten, 維持する 留めておく , 0, 0
einberufen, 会議を招集する , 0, 0
durchdringen, 侵入する , 0, 0
durchdringen mit, 押し通す , 0, 0
sich vornehmen, 計画する 企てる , 0, 0
angehen, に関して言うと 取りかかる 始まる 頼む 適当である , 0, 0
wenden, 向きを変える , 0, 0
zuwenden, 〜の方へ向ける 寄付する , 0, 0
unterziehen, 下に着る 診察などを受ける , 0, 0
umschreiben, 範囲位を限定する 書き直す 言い換える , 0, 0
abbestellen, キャンセルする 取り消す , 0, 0
anlegen, 投資する あてがう 設置する 着用する , 0, 0
enthalten, 否定でも肯定でもある 含む , 0, 0
sich enthalten, しないでおく , 0, 0
vorschreiben, 手本として書いてみせる 規定する , 0, 0
annehmen, 受け入れる 〜とみなす 身につける , 0, 0
sich annehmen, 〜のことを気にかける 面倒を見る , 0, 0
betreten, 入る 立ち入る , 0, 0
eintreten, 建物に入る 行動に入る 団体にはいる , 0, 0
eintreten für, を支持する , 0, 0
treten, の方へ歩く 踏む 踏みつける ける , 0, 0
treten in, の状態に入る , 0, 0
begegnen, 〜に面する 遭遇する ばったり出会う , 0, 0
sich begegnen, 一致する , 0, 0
verfahren, 言いうやり方をする ふるまう , 0, 0
sich verfahren, 車で道に迷う , 0, 0
auftretten, 起こる 登場する 〜の立場をとる 発生する , 0, 0
einschieben, 割り込ませる 押し込む , 0, 0
zustoßen, 激しく押して閉める ナイフで突き刺す , 0, 0
zustoßen auf, 不幸などが降りかかる , 0, 0
vorkommen, 起こる 思われる , 0, 0
raten zu, 〜を勧める , 0, 0
sich erkundigen nach, 〜について問い合わせる , 0, 0
bestehen auf, 固執する こだわる , 0, 0
beruhen auf, 〜に基づく , 0, 0
auf sich beruhen lassen, 〜をそのままにしておく 放置する , 0, 0
sich sehnen, long for , 0, 0
entsetzen, horrify appall , 0, 0
verweisen, point to , 0, 0
sich annehmen, take on a case deal with , 0, 0
sich bedienen, make use of , 0, 0
bedürfen, require , 0, 0
sich bemächtigen, to seize take control of , 0, 0
sich enthalten, choose not to vote , 0, 0
sich erbarmen, have mercy , 0, 0
sich erfreuen, enjoy , 0, 0
gedenken, remmeber commeromate , 0, 0
sich rühmen, boast take pride in , 0, 0
sich schämen, be aschamed of , 0, 0
anklagen, accuse , 0, 0
beschuldigen, accuse blame , 0, 0
bezichtigen, accuse , 0, 0
entbinden, release , 0, 0
entheben, remove relieve , 0, 0
Uuberführen, convict prove to be guilt , 0, 0
verdächtigen, suspect , 0, 0
brauben, need , 0, 0
entbinden, discharge , 0, 0
erbarmen, to have pity with , 0, 0
zubereiten, cook , 0, 0
verfolgen, follow , 0, 0
entgehen, escape , 0, 0
verhießen, promise , 0, 0
schlummern, nap lsumber , 0, 0
hinnehmen, put up with accept , 0, 0
stolzieren, strut , 0, 0
einhalten, hold , 0, 0
umstellen, convert , 0, 0
aufstellen, deploy set , 0, 0
vermittln, communicate place , 0, 0
verzehren, eat , 0, 0
stehlen, steal , 0, 0
verursachen, cause , 0, 0
bummeln, stroll , 0, 0
verwickeln, involve , 0, 0
verreisen, go away , 0, 0
überspielen, override , 0, 0
bewältigen, manage overcom cope with , 0, 0
ernähren, feed , 0, 0
abschaffen, dispose eliminate , 0, 0
wirken auf, given impression , 0, 0
verbreiten, spread , 0, 0
abstürzen, crash , 0, 0
abhalten, hold , 0, 0
verapreden, appoint arrange agree , 0, 0
mich fürchten , , 0, 0
annehmen, accept suppose expect , 0, 0
ausmachen, represent ammount to , 0, 0
sich vornehmen, undertake , 0, 0
anstarren , , 0, 0
verbergen, hide , 0, 0
vernachlässigen, neglect , 0, 0
entfallen auf, to be alloted , 0, 0
mithalten, keep up with , 0, 0
gleichsetzen, equalize , 0, 0
festlegen, fix define , 0, 0
vorlegen, lay , 0, 0
unterstützen, negativ? , 0, 0
betraten, enter , 0, 0
sich machen, set about go for , 0, 0
leben von, live on , 0, 0
ertönen, sound ring out , 0, 0
wenden, approach. direct , 0, 0
sich berufen, refer to , 0, 0
sich decken, conincide match load , 0, 0
mitbekommen, , 0, 0
nachkommen, oblige discharge favor , 0, 0
erstatten, refund , 0, 0
sich decken, coincide , 0, 0
appellieren, appeal , 0, 0
aneignen, acquire , 0, 0
unterworchen , , 0, 0
gewähren, grant impact , 0, 0
zusammenraufen, , 0, 0
verbinden, connect link , 0, 0
auseinandersezten, fight explain , 0, 0
aufbrechen, leave start set out , 0, 0
durchdringen, penetrate soak percolate , 0, 0
wagen, risk venture , 0, 0
begreifen, understand recognize , 0, 0
verabreichen, dispence administer apply , 0, 0
erwerben, acquire win purchase , 0, 0
ermöglichen , , 0, 0
gestalten , , 0, 0
umfassen, encompass involve cover , 0, 0
bewahren, preserve , 0, 0
anerziehen, acquire , 0, 0
dehnen , stretch , 0, 0
einplanen, allow include , 0, 0
erstellen, generate make , 0, 0
abnehmen, take answer decrease , 0, 0
vorsehen, plan , 0, 0
einstellen auf, prepare for , 0, 0
beheben, rectify correct , 0, 0
vorkommen, appear happen , 0, 0
zwingen , , 0, 0
eintreffen, arrive cometrue , 0, 0
klarstellen , , 0, 0
erscheinen, apear , 0, 0
erahnen, guess , 0, 0
schwächen, degrade , 0, 0
vertreten, represent substitue fill in , 0, 0
lindern, mitigate , 0, 0
hemmen, check impede , 0, 0
begehen, commit , 0, 0
erwähnen, mention , 0, 0
sich nähern , , 0, 0
betrachten, view examine , 0, 0
verhalten, act behave , 0, 0
erörtern, debate discuss , 0, 0
verlaufen, run continue , 0, 0
abhalten, detain hold distract , 0, 0
zurückkehren , , 0, 0
feststellen, assert locate notice , 0, 0
hervorheben, bring out distinguish highlight , 0, 0
erläutern, comment clarify , 0, 0
verringern, decrease , 0, 0
eingehen, Risiko , 0, 0
